Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
14,420.1674292,12/16/2010 12:48:25,300.1532468,2,1,0.550024807,3.855670929,0.045856611,0,0.1754847,0,0.000129604,0,0,0,0
15,450.1793681,12/16/2010 12:48:55,330.1651857,2,1,0.550024807,3.859396696,0.050441709,0,0.193171524,0,0.000129604,0,0,0,0
16,480.194348,12/16/2010 12:49:25,360.1801655,2,1,0.550024807,3.862960339,0.055027258,0,0.210877194,0,0.000129557,0,0,0,0
17,510.2094387,12/16/2010 12:49:55,390.1952563,2,1,0.549844861,3.866362333,0.059612881,0,0.228599564,0,6.48022E-05,0,0,0,0
18,540.2245569,12/16/2010 12:50:25,420.2103745,2,1,0.549844861,3.869925976,0.064198508,0,0.246337688,0,6.47545E-05,0,0,0,0
19,570.2395423,12/16/2010 12:50:55,450.2253599,2,1,0.550024807,3.873165846,0.068784055,0,0.264090932,0,6.48022E-05,0,0,0,0
20,600.2544287,12/16/2010 12:51:25,480.2402462,2,1,0.550024807,3.876405716,0.073369707,0,0.281859563,0,6.48022E-05,0,0,0,0
21,630.2695358,12/16/2010 12:51:55,510.2553534,2,1,0.550024807,3.8794837,0.077955379,0,0.299642644,0,6.48022E-05,0,0,0,0
22,660.2844336,12/16/2010 12:52:25,540.2702512,2,1,0.550024807,3.882561445,0.082541043,0,0.317439843,0,9.71794E-05,0,0,0,0
23,690.2994668,12/16/2010 12:52:55,570.2852843,2,1,0.550024807,3.885477304,0.087126706,0,0.335250697,0,6.48022E-05,0,0,0,0
24,720.3144546,12/16/2010 12:53:25,600.3002721,2,1,0.550024807,3.888231039,0.091712341,0,0.353074702,0,3.23772E-05,0,0,0,0
25,750.3294667,12/16/2010 12:53:55,630.3152842,2,1,0.549844861,3.891146898,0.096298024,0,0.370911754,0,6.47545E-05,0,0,0,0
26,780.3446527,12/16/2010 12:54:25,660.3304702,2,1,0.550024807,3.893738747,0.100883714,0,0.388761232,0,9.71794E-05,0,0,0,0
27,810.36134,12/16/2010 12:54:55,690.3471576,2,1,0.550024807,3.896330833,0.105469653,0,0.406623692,0,6.48022E-05,0,0,0,0
28,840.3746451,12/16/2010 12:55:25,720.3604626,2,1,0.550024807,3.898760557,0.110055102,0,0.424495524,0,9.71794E-05,0,0,0,0
29,870.3895226,12/16/2010 12:55:55,750.3753401,2,1,0.550024807,3.901352406,0.114640727,0,0.442379078,0,0.000129604,0,0,0,0
30,900.4045814,12/16/2010 12:56:25,780.390399,2,1,0.549844861,3.903134346,0.11922648,0,0.460273847,0,0,0,0,0,0
31,930.4195357,12/16/2010 12:56:55,810.4053533,2,1,0.550024807,3.905564308,0.123812292,0,0.47817909,0,6.48022E-05,0,0,0,0
32,960.4349268,12/16/2010 12:57:25,840.4207443,2,1,0.550024807,3.907670021,0.128398094,0,0.496094128,0,6.47545E-05,0,0,0,0
33,990.4496262,12/16/2010 12:57:55,870.4354438,2,1,0.550204754,3.909775972,0.132983708,0,0.514017802,0,6.48022E-05,0,0,0,0
34,1020.464623,12/16/2010 12:58:25,900.4504404,2,1,0.550024807,3.911557913,0.137569371,0,0.531950802,0,3.23772E-05,0,0,0,0
35,1050.479631,12/16/2010 12:58:55,930.4654488,2,1,0.550024807,3.91350174,0.142155078,0,0.549892803,0,6.47545E-05,0,0,0,0
36,1080.494652,12/16/2010 12:59:25,960.4804697,2,1,0.549844861,3.91528368,0.146740781,0,0.567843396,0,3.23772E-05,0,0,0,0
37,1110.509664,12/16/2010 12:59:55,990.4954818,2,1,0.550024807,3.91706562,0.151326449,0,0.585802184,0,3.23772E-05,0,0,0,0
38,1140.5248,12/16/2010 13:00:25,1020.510618,2,1,0.550024807,3.919009447,0.155912163,0,0.603769265,0,9.71794E-05,0,0,0,0
39,1170.53984,12/16/2010 13:00:55,1050.525657,2,1,0.550024807,3.920629501,0.160497818,0,0.621744194,0,3.24249E-05,0,0,0,0
40,1200.554716,12/16/2010 13:01:25,1080.540533,2,1,0.550204754,3.922573328,0.165083457,0,0.639727019,0,6.48022E-05,0,0,0,0
41,1230.569821,12/16/2010 13:01:55,1110.555638,2,1,0.550024807,3.924355268,0.169669122,0,0.657717884,0,9.71794E-05,0,0,0,0
42,1260.584716,12/16/2010 13:02:25,1140.570533,2,1,0.550024807,3.925813198,0.17425472,0,0.675716344,0,0,0,0,0,0
43,1290.599738,12/16/2010 13:02:55,1170.585556,2,1,0.550024807,3.927433014,0.178840323,0,0.6937226,0,0,0,0,0,0
44,1320.614863,12/16/2010 13:03:25,1200.60068,2,1,0.550024807,3.929377079,0.183425966,0,0.71173682,0,9.72271E-05,0,0,0,0
45,1350.629751,12/16/2010 13:03:55,1230.615568,2,1,0.549844861,3.930835009,0.18801159,0,0.729758822,0,3.24249E-05,0,0,0,0
46,1380.645179,12/16/2010 13:04:25,1260.630997,2,1,0.550024807,3.932778835,0.192597252,0,0.747788737,0,6.48022E-05,0,0,0,0
47,1410.661739,12/16/2010 13:04:55,1290.647557,2,1,0.549844861,3.934398651,0.197183174,0,0.765827528,0,6.47545E-05,0,0,0,0
48,1440.674833,12/16/2010 13:05:25,1320.660651,2,1,0.550024807,3.936018705,0.201768478,0,0.783871709,0,0,0,0,0,0
49,1470.689804,12/16/2010 13:05:55,1350.675622,2,1,0.550024807,3.937638521,0.206354132,0,0.801925133,0,0,0,0,0,0
50,1500.704817,12/16/2010 13:06:25,1380.690634,2,1,0.550204754,3.939582586,0.210939819,0,0.819986475,0,3.24249E-05,0,0,0,0
51,1530.719847,12/16/2010 13:06:55,1410.705665,2,1,0.549844861,3.941202402,0.215525477,0,0.838055638,0,3.23772E-05,0,0,0,0
52,1560.734854,12/16/2010 13:07:25,1440.720672,2,1,0.550024807,3.943146229,0.220111161,0,0.85613281,0,9.71794E-05,0,0,0,0
53,1590.750005,12/16/2010 13:07:55,1470.735823,2,1,0.549844861,3.944766283,0.224696835,0,0.874217827,0,6.48022E-05,0,0,0,0
54,1620.764897,12/16/2010 13:08:25,1500.750715,2,1,0.550024807,3.946548223,0.22928242,0,0.892310359,0,6.48022E-05,0,0,0,0
55,1650.779903,12/16/2010 13:08:55,1530.76572,2,1,0.550024807,3.948006153,0.233868039,0,0.910410868,0,0,0,0,0,0
56,1680.7949,12/16/2010 13:09:25,1560.780718,2,1,0.550024807,3.949787855,0.23845374,0,0.928519571,0,6.47545E-05,0,0,0,0
57,1710.809917,12/16/2010 13:09:55,1590.795735,2,1,0.550024807,3.951569796,0.243039453,0,0.946636311,0,9.71794E-05,0,0,0,0
58,1740.824928,12/16/2010 13:10:25,1620.810746,2,1,0.550024807,3.95318985,0.247625116,0,0.964760732,0,0,0,0,0,0
59,1770.839967,12/16/2010 13:10:56,1650.825785,2,1,0.550024807,3.95497179,0.252210832,0,0.982893266,0,3.24249E-05,0,0,0,0
60,1800.855083,12/16/2010 13:11:26,1680.840901,2,1,0.550204754,3.956915617,0.25679659,0,1.001033895,0,9.71794E-05,0,0,0,0
61,1830.869994,12/16/2010 13:11:56,1710.855812,2,1,0.550024807,3.958211422,0.261382222,0,1.019181885,0,0,0,0,0,0
62,1860.884975,12/16/2010 13:12:26,1740.870793,2,1,0.550024807,3.960155487,0.265967953,0,1.037338097,0,6.48022E-05,0,0,0,0
63,1890.900144,12/16/2010 13:12:56,1770.885962,2,1,0.550024807,3.961937428,0.270553671,0,1.055502079,0,6.48022E-05,0,0,0,0
64,1920.915006,12/16/2010 13:13:26,1800.900824,2,1,0.550024807,3.963557243,0.275139309,0,1.073673565,0,6.48022E-05,0,0,0,0
65,1950.930017,12/16/2010 13:13:56,1830.915835,2,1,0.550024807,3.965339184,0.279725,0,1.091853164,0,6.48022E-05,0,0,0,0
66,1980.945039,12/16/2010 13:14:26,1860.930856,2,1,0.550024807,3.967121124,0.284310641,0,1.110040433,0,9.72271E-05,0,0,0,0
67,2010.96193,12/16/2010 13:14:56,1890.947747,2,1,0.550024807,3.96874094,0.288896598,0,1.128236852,0,6.48022E-05,0,0,0,0
68,2040.975214,12/16/2010 13:15:26,1920.961032,2,1,0.549844861,3.970360994,0.293482038,0,1.146439063,0,6.48022E-05,0,0,0,0
69,2070.990066,12/16/2010 13:15:56,1950.975883,2,1,0.549844861,3.972142696,0.298067727,0,1.164650137,0,3.23772E-05,0,0,0,0
70,2101.005103,12/16/2010 13:16:26,1980.99092,2,1,0.549844861,3.973762751,0.302653383,0,1.18286899,0,-3.23772E-05,0,0,0,0
71,2131.020118,12/16/2010 13:16:56,2011.005936,2,1,0.550024807,3.975544691,0.307239094,0,1.201096009,0,3.24249E-05,0,0,0,0
72,2161.03511,12/16/2010 13:17:26,2041.020928,2,1,0.550024807,3.977326632,0.31182484,0,1.219331124,0,6.48022E-05,0,0,0,0
73,2191.050268,12/16/2010 13:17:56,2071.036085,2,1,0.550204754,3.979270458,0.316410621,0,1.237574384,0,6.48022E-05,0,0,0,0
74,2221.065261,12/16/2010 13:18:26,2101.051079,2,1,0.550024807,3.980566263,0.320996413,0,1.255825589,0,3.23772E-05,0,0,0,0
75,2251.080185,12/16/2010 13:18:56,2131.066003,2,1,0.550024807,3.982510328,0.325582031,0,1.274084164,0,3.24249E-05,0,0,0,0
76,2281.09532,12/16/2010 13:19:26,2161.081137,2,1,0.549844861,3.984292269,0.330167667,0,1.292351255,0,0,0,0,0,0
77,2311.110177,12/16/2010 13:19:56,2191.095995,2,1,0.550024807,3.986236095,0.334753288,0,1.310626514,0,6.48022E-05,0,0,0,0
78,2341.128151,12/16/2010 13:20:26,2221.113969,2,1,0.550024807,3.988018036,0.339339375,0,1.328911924,0,3.24249E-05,0,0,0,0
79,2371.140244,12/16/2010 13:20:56,2251.126061,2,1,0.550024807,3.989961863,0.343924586,0,1.347202197,0,6.48022E-05,0,0,0,0
80,2401.155221,12/16/2010 13:21:26,2281.141039,2,1,0.550204754,3.991743803,0.348510215,0,1.365502491,0,6.48022E-05,0,0,0,0
81,2431.170235,12/16/2010 13:21:56,2311.156053,2,1,0.550024807,3.993525743,0.353095772,0,1.383811002,0,3.24249E-05,0,0,0,0
82,2461.185273,12/16/2010 13:22:26,2341.17109,2,1,0.549844861,3.99546957,0.357681417,0,1.402128423,0,3.23772E-05,0,0,0,0
83,2491.200393,12/16/2010 13:22:56,2371.18621,2,1,0.550024807,3.997251511,0.362267074,0,1.420454539,0,3.24249E-05,0,0,0,0
84,2521.215276,12/16/2010 13:23:26,2401.201094,2,1,0.550204754,3.999357462,0.366852675,0,1.438789187,0,9.72271E-05,0,0,0,0
85,2551.230293,12/16/2010 13:23:56,2431.21611,2,1,0.550024807,4.001139164,0.371438258,0,1.457132665,0,3.23296E-05,0,0,0,0
86,2581.245321,12/16/2010 13:24:26,2461.231139,2,1,0.550024807,4.003083229,0.376023815,0,1.475484818,0,3.24249E-05,0,0,0,0
87,2611.262168,12/16/2010 13:24:56,2491.247986,2,1,0.549844861,4.005027294,0.380609681,0,1.493847308,0,0,0,0,0,0
88,2641.275339,12/16/2010 13:25:26,2521.261156,2,1,0.550024807,4.007295132,0.385194449,0,1.512214402,0,6.48499E-05,0,0,0,0
89,2671.290376,12/16/2010 13:25:56,2551.276194,2,1,0.550024807,4.00923872,0.389779422,0,1.530591547,0,6.47545E-05,0,0,0,0
90,2701.305355,12/16/2010 13:26:26,2581.291172,2,1,0.549844861,4.011182785,0.394364508,0,1.548978514,0,6.47545E-05,0,0,0,0
91,2731.320387,12/16/2010 13:26:56,2611.306205,2,1,0.549844861,4.013288498,0.398949499,0,1.567374351,0,6.47545E-05,0,0,0,0
92,2761.335512,12/16/2010 13:27:26,2641.32133,2,1,0.549844861,4.015232563,0.403534469,0,1.585779705,0,3.24249E-05,0,0,0,0
93,2791.350395,12/16/2010 13:27:56,2671.336213,2,1,0.549844861,4.017338276,0.408119496,0,1.604194901,0,3.23296E-05,0,0,0,0
94,2821.365412,12/16/2010 13:28:26,2701.351229,2,1,0.549844861,4.019444466,0.412704948,0,1.62262166,0,3.24249E-05,0,0,0,0
95,2851.380436,12/16/2010 13:28:56,2731.366254,2,1,0.549844861,4.021712303,0.417290581,0,1.641059089,0,3.24249E-05,0,0,0,0
96,2881.395682,12/16/2010 13:29:26,2761.381499,2,1,0.550024807,4.023980141,0.421876193,0,1.659506301,0,6.48499E-05,0,0,0,0
97,2911.410454,12/16/2010 13:29:56,2791.396272,2,1,0.549844861,4.026085854,0.426461697,0,1.677963234,0,6.47545E-05,0,0,0,0
98,2941.425471,12/16/2010 13:30:26,2821.411289,2,1,0.550204754,4.028515816,0.431047369,0,1.696430939,0,9.71794E-05,0,0,0,0
99,2971.440499,12/16/2010 13:30:56,2851.426316,2,1,0.550024807,4.030783653,0.435633089,0,1.714909119,0,6.47545E-05,0,0,0,0
100,3001.455623,12/16/2010 13:31:26,2881.441441,2,1,0.550024807,4.032889843,0.44021878,0,1.733397541,0,6.48499E-05,0,0,0,0
101,3031.47051,12/16/2010 13:31:56,2911.456328,2,1,0.550204754,4.035319328,0.444804349,0,1.751895993,0,9.71794E-05,0,0,0,0
102,3061.485531,12/16/2010 13:32:26,2941.471348,2,1,0.549844861,4.037425518,0.449390003,0,1.770405476,0,3.24249E-05,0,0,0,0
103,3091.500569,12/16/2010 13:32:56,2971.486386,2,1,0.550024807,4.040017128,0.453975697,0,1.788925961,0,6.47545E-05,0,0,0,0
104,3121.515563,12/16/2010 13:33:26,3001.501381,2,1,0.550024807,4.04244709,0.458561452,0,1.807457647,0,9.71794E-05,0,0,0,0
105,3151.530566,12/16/2010 13:33:56,3031.516383,2,1,0.549844861,4.044877052,0.463147136,0,1.825999944,0,0.000129604,0,0,0,0
106,3181.545709,12/16/2010 13:34:26,3061.531527,2,1,0.550024807,4.047307014,0.46773279,0,1.844553388,0,6.48499E-05,0,0,0,0
107,3211.562393,12/16/2010 13:34:56,3091.548211,2,1,0.550024807,4.049736977,0.472318768,0,1.86311946,0,6.48499E-05,0,0,0,0
108,3241.575614,12/16/2010 13:35:26,3121.561431,2,1,0.550024807,4.052166462,0.476904192,0,1.88169484,0,3.23296E-05,0,0,0,0
109,3271.590624,12/16/2010 13:35:56,3151.576442,2,1,0.550024807,4.054920673,0.481489923,0,1.900282995,0,9.72748E-05,0,0,0,0
110,3301.605681,12/16/2010 13:36:26,3181.591498,2,1,0.550204754,4.057350159,0.486075638,0,1.918882814,0,3.23296E-05,0,0,0,0
111,3331.620667,12/16/2010 13:36:56,3211.606484,2,1,0.550024807,4.059942245,0.490661389,0,1.937494609,0,6.47545E-05,0,0,0,0
112,3361.635672,12/16/2010 13:37:26,3241.62149,2,1,0.549844861,4.062534332,0.495247149,0,1.9561184,0,6.48499E-05,0,0,0,0
113,3391.650688,12/16/2010 13:37:56,3271.636505,2,1,0.550024807,4.065125942,0.499832939,0,1.974754091,0,6.47545E-05,0,0,0,0
114,3421.665695,12/16/2010 13:38:26,3301.651513,2,1,0.549844861,4.067555904,0.504418589,0,1.993401397,0,0,0,0,0,0
115,3451.680715,12/16/2010 13:38:56,3331.666532,2,1,0.550024807,4.070471764,0.509004318,0,2.012061387,0,6.48499E-05,0,0,0,0
116,3481.695728,12/16/2010 13:39:26,3361.681546,2,1,0.550024807,4.073225498,0.513590099,0,2.030734183,0,3.24249E-05,0,0,0,0
117,3511.710756,12/16/2010 13:39:56,3391.696574,2,1,0.549844861,4.075979233,0.518175755,0,2.049419056,0,6.47545E-05,0,0,0,0
118,3541.725745,12/16/2010 13:40:26,3421.711563,2,1,0.550024807,4.078733444,0.522761406,0,2.06811673,0,6.48499E-05,0,0,0,0
119,3571.7408,12/16/2010 13:40:56,3451.726617,2,1,0.550204754,4.081810951,0.527347096,0,2.08682746,0,9.71794E-05,0,0,0,0
120,3601.755778,12/16/2010 13:41:26,3481.741595,2,1,0.550024807,4.084403038,0.53193282,0,2.105551387,0,6.48499E-05,0,0,0,0
121,3631.770811,12/16/2010 13:41:56,3511.756629,2,1,0.550024807,4.087156773,0.536518521,0,2.124288339,0,6.47545E-05,0,0,0,0
122,3661.785806,12/16/2010 13:42:26,3541.771623,2,1,0.549844861,4.090234756,0.541104216,0,2.143038565,0,6.48499E-05,0,0,0,0
123,3691.800831,12/16/2010 13:42:57,3571.786648,2,1,0.550024807,4.09331274,0.545689897,0,2.161802092,0,9.72748E-05,0,0,0,0
124,3721.816251,12/16/2010 13:43:27,3601.802068,2,1,0.550024807,4.096228123,0.550275663,0,2.180579439,0,9.71794E-05,0,0,0,0
125,3751.83085,12/16/2010 13:43:57,3631.816667,2,1,0.550204754,4.099143982,0.554861245,0,2.199369631,0,9.71794E-05,0,0,0,0
126,3781.845751,12/16/2010 13:44:27,3661.831569,2,1,0.549844861,4.102221966,0.559446961,0,2.21817414,0,9.71794E-05,0,0,0,0
127,3811.862762,12/16/2010 13:44:57,3691.84858,2,1,0.550024807,4.105137825,0.564033194,0,2.236994619,0,6.47545E-05,0,0,0,0
128,3841.875871,12/16/2010 13:45:27,3721.861688,2,1,0.550024807,4.108215809,0.568618775,0,2.255826386,0,6.48499E-05,0,0,0,0
129,3871.89088,12/16/2010 13:45:57,3751.876698,2,1,0.549844861,4.111293793,0.573204583,0,2.274673233,0,6.48499E-05,0,0,0,0
130,3901.905806,12/16/2010 13:46:27,3781.891623,2,1,0.550024807,4.114533424,0.57779047,0,2.293534682,0,9.71794E-05,0,0,0,0
131,3931.920946,12/16/2010 13:46:57,3811.906764,2,1,0.550204754,4.117773056,0.582376226,0,2.312409954,0,9.71794E-05,0,0,0,0
132,3961.935931,12/16/2010 13:47:27,3841.921748,2,1,0.550024807,4.121013165,0.58696193,0,2.331299595,0,0.000129604,0,0,0,0
133,3991.950933,12/16/2010 13:47:57,3871.93675,2,1,0.550024807,4.123929024,0.591547664,0,2.350203999,0,6.48499E-05,0,0,0,0
134,4021.965959,12/16/2010 13:48:27,3901.951776,2,1,0.550024807,4.127168655,0.596133373,0,2.369122991,0,6.47545E-05,0,0,0,0
135,4051.980998,12/16/2010 13:48:57,3931.966816,2,1,0.550024807,4.130570412,0.600719094,0,2.388056969,0,9.71794E-05,0,0,0,0
136,4081.995976,12/16/2010 13:49:27,3961.981794,2,1,0.550024807,4.13381052,0.605304823,0,2.407005997,0,9.71794E-05,0,0,0,0
137,4112.010996,12/16/2010 13:49:57,3991.996814,2,1,0.550024807,4.137050152,0.609890573,0,2.425970223,0,6.47545E-05,0,0,0,0
138,4142.026029,12/16/2010 13:50:27,4022.011846,2,1,0.550204754,4.140614033,0.614476268,0,2.444949367,0,0.000129604,0,0,0,0
139,4172.04104,12/16/2010 13:50:57,4052.026858,2,1,0.550024807,4.143853664,0.619061993,0,2.463943988,0,0.000129509,0,0,0,0
140,4202.05604,12/16/2010 13:51:27,4082.041857,2,1,0.550024807,4.147255898,0.623647777,0,2.482954327,0,9.72748E-05,0,0,0,0
141,4232.07104,12/16/2010 13:51:57,4112.056858,2,1,0.550024807,4.150819302,0.628233382,0,2.501979843,0,0.000161934,0,0,0,0
142,4262.088918,12/16/2010 13:52:27,4142.074735,2,1,0.550204754,4.154221535,0.632819507,0,2.521023269,0,9.72748E-05,0,0,0,0
143,4292.101338,12/16/2010 13:52:57,4172.087156,2,1,0.549664915,4.157461166,0.637404808,0,2.540079043,0,6.47545E-05,0,0,0,0
144,4322.116079,12/16/2010 13:53:27,4202.101896,2,1,0.550024807,4.161025047,0.641990441,0,2.559152166,0,9.71794E-05,0,0,0,0
145,4352.131123,12/16/2010 13:53:57,4232.11694,2,1,0.550204754,4.164588928,0.646576122,0,2.578241544,0,6.48499E-05,0,0,0,0
146,4382.146104,12/16/2010 13:54:27,4262.131922,2,1,0.550024807,4.168152809,0.651161783,0,2.597347018,0,9.72748E-05,0,0,0,0
147,4412.163149,12/16/2010 13:54:57,4292.148966,2,1,0.550024807,4.171716213,0.65574779,0,2.616470298,0,6.47545E-05,0,0,0,0
148,4442.176262,12/16/2010 13:55:27,4322.16208,2,1,0.550024807,4.175280094,0.660333206,0,2.635607508,0,9.71794E-05,0,0,0,0
149,4472.191139,12/16/2010 13:55:57,4352.176956,2,1,0.550024807,4.178843975,0.664918882,0,2.654762391,0,6.47545E-05,0,0,0,0
150,4502.206276,12/16/2010 13:56:27,4382.192094,2,1,0.550024807,4.182569981,0.669504597,0,2.673934005,0,6.48499E-05,0,0,0,0
151,4532.221321,12/16/2010 13:56:57,4412.207139,2,1,0.550024807,4.186295509,0.67409035,0,2.693122528,0,9.71794E-05,0,0,0,0
152,4562.236319,12/16/2010 13:57:27,4442.222136,2,1,0.550024807,4.18985939,0.678676053,0,2.712327705,0,9.71794E-05,0,0,0,0
153,4592.251195,12/16/2010 13:57:57,4472.237013,2,1,0.550024807,4.193585396,0.683261761,0,2.7315499,0,0.000129604,0,0,0,0
154,4622.266206,12/16/2010 13:58:27,4502.252024,2,1,0.550204754,4.197473049,0.687847462,0,2.750789188,0,0.000129604,0,0,0,0
155,4642.783233,12/16/2010 13:58:48,4522.769051,2,1,0.550024807,4.200065136,0.690982048,0,2.763950189,0,0.000129604,0,0,0,0
156,4672.79865,12/16/2010 13:59:18,30.01502056,3,1,0,4.099792004,0.690982048,0,2.763950189,0,-0.000518417,0,0,0,0
157,4702.813776,12/16/2010 13:59:48,60.03014691,3,1,0,4.085860729,0.690982048,0,2.763950189,0,-0.000291634,0,0,0,0
158,4732.828721,12/16/2010 14:00:18,90.04509188,3,1,0,4.077113152,0.690982048,0,2.763950189,0,-0.000194454,0,0,0,0
159,4762.796802,12/16/2010 14:00:48,120.0131722,3,1,0,4.071119785,0.690982048,0,2.763950189,0,-0.000161934,0,0,0,0
160,4762.797073,12/16/2010 14:00:48,2.68167E-06,4,1,1.090946436,4.200226784,0.690982049,0,2.763950192,0,0,0,0,0,0
161,4763.263844,12/16/2010 14:00:48,0.466773142,4,1,1.039481521,4.200226784,0.691118984,0,2.764525354,0,0,0,0,0,0
162,4764.670086,12/16/2010 14:00:50,1.873015728,4,1,0.988916337,4.200226784,0.691514427,0,2.766186334,0,0,0,0,0,0
163,4766.842018,12/16/2010 14:00:52,4.044947075,4,1,0.938710988,4.200226784,0.692095278,0,2.768626078,0,0,0,0,0,0
164,4769.826211,12/16/2010 14:00:55,7.029140676,4,1,0.888685644,4.200388908,0.69285191,0,2.771804165,0,3.24249E-05,0,0,0,0
165,4773.732373,12/16/2010 14:00:59,10.93530289,4,1,0.838300407,4.200226784,0.693787821,0,2.775735281,0,-3.24249E-05,0,0,0,0
166,4778.716791,12/16/2010 14:01:04,15.91972072,4,1,0.788095117,4.200388908,0.694912653,0,2.780459926,0,0,0,0,0,0
167,4785.060414,12/16/2010 14:01:10,22.26334347,4,1,0.738069713,4.200226784,0.696255642,0,2.786100905,0,0,0,0,0,0
168,4793.216486,12/16/2010 14:01:18,30.41941538,4,1,0.688044369,4.200388908,0.697868428,0,2.792875128,0,3.24249E-05,0,0,0,0
169,4804.153771,12/16/2010 14:01:29,41.3567008,4,1,0.638019025,4.200226784,0.699879001,0,2.801320182,0,0,0,0,0,0
170,4820.090936,12/16/2010 14:01:45,57.29386518,4,1,0.587993681,4.200388908,0.702585625,0,2.812688908,0,3.24249E-05,0,0,0,0
171,4846.13707,12/16/2010 14:02:11,83.33999924,4,1,0.537968338,4.200388908,0.706642487,0,2.829729103,0,3.24249E-05,0,0,0,0
172,4896.198656,12/16/2010 14:03:01,133.4015858,4,1,0.487942964,4.200388908,0.713737134,0,2.859528974,0,3.24249E-05,0,0,0,0
173,4990.587361,12/16/2010 14:04:36,227.7902904,4,1,0.43791759,4.200226784,0.725830471,0,2.910325079,0,-3.24249E-05,0,0,0,0
174,5121.381664,12/16/2010 14:06:46,358.5845938,4,1,0.387892246,4.200388908,0.740810476,0,2.973246232,0,3.24249E-05,0,0,0,0
175,5277.409606,12/16/2010 14:09:22,514.6125356,4,1,0.337866902,4.200226784,0.756517958,0,3.039223034,0,-3.24249E-05,0,0,0,0
176,5460.437118,12/16/2010 14:12:25,697.6400473,4,1,0.287841529,4.200388908,0.772402768,0,3.105944623,0,0,0,0,0,0
177,5679.385904,12/16/2010 14:16:04,916.5888335,4,1,0.237816185,4.200226784,0.788356686,0,3.172956458,0,0,0,0,0,0
178,5951.598999,12/16/2010 14:20:37,1188.801929,4,1,0.187790826,4.200226784,0.804390591,0,3.240304343,0,-3.24249E-05,0,0,0,0
179,6316.560288,12/16/2010 14:26:42,1553.763218,4,1,0.137765467,4.200226784,0.820768447,0,3.309096918,0,-3.24249E-05,0,0,0,0
180,6902.360984,12/16/2010 14:36:27,2139.563914,4,1,0.087740108,4.200065136,0.838749052,0,3.384621548,0,-3.23296E-05,0,0,0,0
181,7801.655026,12/16/2010 14:51:27,3038.857956,4,1,0.04995117,4.200065136,0.855395435,0,3.454541952,0,-6.47545E-05,0,0,0,0
182,7831.670287,12/16/2010 14:51:57,30.01504855,5,1,0,4.190993309,0.855395435,0,3.454541952,0,-3.24249E-05,0,0,0,0
183,7861.669707,12/16/2010 14:52:27,60.01446798,5,1,0,4.189211369,0.855395435,0,3.454541952,0,-6.48499E-05,0,0,0,0
184,7861.857385,12/16/2010 14:52:27,0.18728049,6,1,0.000285709,4.189373493,0.855395449,0,3.454542014,0,0,0.101375766,0,0,0
185,7886.341723,12/16/2010 14:52:52,24.48388409,7,1,-0.549993217,4.089262486,0.855395449,0.003741099,3.454542014,0.01534711,-0.000745201,0.101375766,0,0,0
