Cycle_Index,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V)
21,292287.6281,12/11/2010 21:53:15,-0.002233554,3.337459803,19.00364739,19.00506171,76.38212874,70.75484179,0.100655437,0,0,7554.204877,5871.222058,4.200551033
22,306065.7722,12/12/2010 01:42:55,-0.002413501,3.336973667,19.90033175,19.90149894,79.98317941,74.09564392,0.100655437,0,0,7547.145925,5870.972913,4.200551033
23,319807.5058,12/12/2010 05:31:58,-0.001873659,3.33648777,20.79642059,20.7973889,83.58132484,77.43435314,0.099843703,0,0,7514.270174,5867.411686,4.200551033
24,333560.6671,12/12/2010 09:21:12,-0.002413501,3.334381819,21.6922154,21.69334505,87.17751599,80.77367311,0.100564755,0,0,7525.363145,5867.709197,4.200551033
25,347310.0395,12/12/2010 13:10:23,-0.001873659,3.333410025,22.58801097,22.58908494,90.77326482,84.11247294,0.099933811,0,0,7523.102752,5866.166039,4.200551033
26,361058.4713,12/12/2010 16:59:33,-0.002053607,3.333571911,23.4836927,23.48441026,94.36888288,87.45024337,0.09912134,0,0,7524.869473,5863.492242,4.200388908
27,374804.9528,12/12/2010 20:48:41,-0.001873659,3.332923889,24.37917871,24.37962311,97.96356785,90.78789988,0.09912134,0,0,7523.307904,5862.899102,4.200388908
28,388534.1046,12/13/2010 00:37:31,-0.002233554,3.332275867,25.27434846,25.2747076,101.5565723,94.12512396,0.100564755,0,0,7507.699398,5861.413619,4.200388908
29,402239.4131,12/13/2010 04:25:58,-0.002233554,3.332599878,26.16884156,26.16896618,105.1464036,97.45904573,0.099753752,0,0,7489.310379,5855.912978,4.200388908
30,415947.1609,12/13/2010 08:14:27,-0.002413501,3.374879837,27.0581195,27.04638656,108.7172757,100.7167555,0.102278911,0,0,7601.532873,5746.147348,4.200551033
31,429635.1044,12/13/2010 12:02:36,-0.002053607,3.386057138,27.93309651,27.91736773,112.2446435,103.9464982,0.103183694,0,0,7623.732014,5704.146433,4.200713158
32,443330.739,12/13/2010 15:50:53,-0.002233554,3.38670516,28.80276725,28.78582598,115.7533249,107.1666802,0.103808783,0,0,7647.233871,5688.28797,4.200713158
33,457005.0455,12/13/2010 19:38:49,-0.002053607,3.391888857,29.67063254,29.65112173,119.2551936,110.3739425,0.104619786,0,0,7646.528104,5667.725686,4.200713158
34,470724.8938,12/13/2010 23:27:30,-0.002233554,3.372287989,30.53627464,30.52199219,122.75099,113.608369,0.100746281,0,0,7655.779334,5703.979199,4.200713158
35,484360.5638,12/14/2010 03:14:47,-0.002053607,3.3632164,31.40824984,31.39627533,126.2623559,116.8587185,0.099933811,0,0,7549.369392,5726.187203,4.200551033
36,497882.717,12/14/2010 07:00:10,-0.002053607,3.377147675,32.28112396,32.26469327,129.7749517,120.0820538,0.103715345,0,0,7474.200543,5687.882777,4.200713158
37,511527.7881,12/14/2010 10:47:36,-0.002053607,3.378605604,33.14774094,33.13063134,133.269538,123.2958389,0.103715345,0,0,7613.326452,5671.679535,4.200713158
38,525161.9191,12/14/2010 14:34:52,-0.002053607,3.374555826,34.01331106,33.99697868,136.7589555,126.5126527,0.101375766,0,0,7599.670837,5674.39831,4.200713158
39,534844.0066,12/14/2010 17:16:15,-0.002233554,3.356898785,34.72162764,34.71222127,139.5864768,129.1410338,0.104714125,0,0,4636.607976,4685.435073,4.200388908
40,548560.0019,12/14/2010 21:04:53,-0.002233554,3.375365734,35.59309451,35.57627686,143.0989453,132.3497078,0.10299778,0,0,7696.310099,5659.492397,4.200713158
41,562143.2413,12/15/2010 00:51:17,-0.002053607,3.36143446,36.45910999,36.44575812,146.5871454,135.5824941,0.102094792,0,0,7528.322529,5694.922739,4.200551033
42,575749.1345,12/15/2010 04:38:04,-0.002053607,3.357222795,37.32883183,37.31677421,150.0876403,138.8221824,0.100564755,0,0,7540.934592,5704.845051,4.200551033
43,589360.7883,12/15/2010 08:24:57,-0.002053607,3.373907804,38.19743115,38.18033984,153.5853214,142.0288838,0.10299778,0,0,7595.489627,5656.102882,4.200713158
44,602956.4662,12/15/2010 12:11:35,-0.002053607,3.373583794,39.0608264,39.043484,157.0652743,145.2345035,0.102371223,0,0,7582.125761,5653.63467,4.200713158
45,616535.1174,12/15/2010 15:57:55,-0.002053607,3.371477842,39.92399798,39.90710806,160.5439721,148.4426847,0.10083729,0,0,7562.083126,5656.555462,4.200713158
46,630072.7719,12/15/2010 19:43:33,-0.002233554,3.372449875,40.78665916,40.7693962,164.0197694,151.6454096,0.101467177,0,0,7529.694197,5647.77755,4.200713158
47,643652.5569,12/15/2010 23:29:55,-0.002233554,3.363540411,41.64893333,41.63448538,167.4942683,154.8612787,0.099933811,0,0,7553.726169,5666.048113,4.200551033
48,657191.1477,12/16/2010 03:15:34,-0.002233554,3.360462427,42.51377543,42.5003948,170.9758066,158.081025,0.100564755,0,0,7507.313101,5671.174545,4.200551033
49,670640.0645,12/16/2010 06:59:45,-0.002053607,3.376175642,43.37799762,43.35970048,174.4542572,161.2717617,0.102278911,0,0,7460.76591,5628.122401,4.200713158
50,684186.5922,12/16/2010 10:45:33,-0.002053607,3.37844348,44.23537976,44.21614279,177.9118256,164.4498188,0.103715345,0,0,7576.876554,5609.524889,4.200713158
